	A21	A22	AC1	AC2	AC3	A23
NM_001260507	10214	11954	14102	14963	19314	9435
NM_001039548	596	715	1085	1040	1296	742
NM_001235	5855	6261	11096	15488	15088	5729
NM_001207014	5855	6261	11096	15488	15088	5729
NR_046090	138	203	259	106	208	127
NM_025098	16	21	13	39	12	5
NM_004626	35	16	172	4	11	2
NM_001305225	1361	1753	2002	2542	2924	1214
NM_001282456	2006	2444	2594	3627	3616	1903
NM_004705	2732	2236	2393	2777	3092	2193
NR_130898	2732	2236	2393	2777	3092	2193
NR_130990	2242	2487	2641	3637	3812	2038
NM_001300942	3989	3914	6539	6092	7927	3607
NM_001300943	3989	3914	6539	6092	7927	3607
NM_001300944	3989	3914	6539	6092	7927	3607
NM_020193	3989	3914	6539	6092	7927	3607
NM_005512	145	100	88	6	16	188
NM_001128922	254	140	158	138	119	307
NM_015516	2286	2309	4156	5412	4067	2696
NM_001258210	2848	2715	4668	6223	4953	3119
NR_120561	472	358	273	655	827	355
NR_120562	472	358	273	655	827	355
NM_138706	48	83	1	1	4	29
NM_001127179	110	81	68	155	159	84
NM_000260	362	453	2372	3227	1894	556
NM_001127180	362	453	2372	3227	1894	556
NM_006189	0	0	1	0	1	19
NR_130930	1	89	3	6	6	61
NM_173039	3457	3018	2250	3370	3743	2863
NM_024684	1488	1478	1827	2859	2513	1259
NM_001203262	2248	1911	3012	6146	2967	1983
NM_001282406	203	22	177	364	250	139
NM_001204055	1385	1525	2538	5203	2169	1408
NM_003251	687	368	361	461	438	394
NM_024079	3455	3040	3655	4949	4842	3552
NM_001204054	1385	1525	2538	5203	2169	1408
NM_004549	1385	1525	2538	5203	2169	1408
NM_023930	78	17	84	310	111	43
NM_001203260	2248	1911	3012	6146	2967	1983
NM_001203261	2248	1911	3012	6146	2967	1983
NM_001007027	3455	3040	3655	4949	4842	3552
NM_001029859	757	478	1197	1756	1699	609
NM_020798	947	568	1358	933	1726	501
NR_120564	115	266	303	284	101	332
NR_030598	0	0	0	0	0	0
NR_049841	0	0	0	0	0	0
NR_120570	0	0	0	0	0	0
NR_036186	0	0	0	0	0	0
NM_145018	1947	2043	1933	1725	2276	1843
NR_033347	0	0	0	0	0	0
NR_038903	646	569	1301	1279	1490	761
NM_001300973	2116	2535	3530	5245	5379	2094
NM_001300975	1522	1906	2817	4079	3823	1526
NM_001300976	1059	1225	1484	2844	2513	805
NM_001300977	1059	1225	1484	2844	2513	805
NM_182603	1522	1906	2817	4079	3823	1526
NR_125355	1059	1225	1484	2844	2513	805
NM_015885	14156	15607	18067	16653	23790	14061
NM_001300972	2116	2535	3530	5245	5379	2094
NM_021825	3368	3456	4420	5966	7517	3198
NM_001286120	3368	3456	4420	5966	7517	3198
NM_001286119	3368	3456	4420	5966	7517	3198
NM_001286118	3368	3456	4420	5966	7517	3198
NM_001286117	3368	3456	4420	5966	7517	3198
NM_001286116	3368	3456	4420	5966	7517	3198
NM_152723	77	73	843	654	1039	10
NR_028027	6093	7202	18596	19968	25311	6356
NR_028026	6093	7202	18596	19968	25311	6356
NR_028025	6093	7202	18596	19968	25311	6356
NR_028024	6093	7202	18596	19968	25311	6356
NM_001193538	585	455	533	490	773	563
NM_001193537	585	455	533	490	773	563
NM_206929	50	51	369	333	588	64
NM_001289609	51	52	370	334	628	64
NM_001289610	50	51	369	333	588	64
NM_001256547	585	455	533	490	773	563
NM_001256546	585	455	533	490	773	563
NM_001162952	51	52	370	334	628	64
NM_206930	51	52	370	334	628	64
NM_001039618	6093	7202	18596	19968	25311	6356
NM_032273	4706	5452	14613	8607	19226	4338
NM_001244735	4706	5452	14613	8607	19226	4338
NM_018480	585	455	533	490	773	563
NM_016401	2199	2099	2240	2381	2932	1691
NR_106813	0	0	48	1	2	0
NR_024598	2199	2099	2240	2381	2932	1691
NR_024597	2199	2099	2240	2381	2932	1691
NR_024596	1585	1582	1402	1292	2094	1364
NR_045004	1	0	0	0	0	0
NM_007173	105	158	235	471	301	112
NM_001293179	105	158	235	471	301	112
NM_001293178	105	158	235	471	301	112
NM_012193	665	637	1232	825	972	498
NR_038905	501	758	641	1781	1951	655
NM_022337	177	259	271	477	244	149
NR_036124	0	0	0	0	0	0
NM_001814	2419	2674	4202	2712	4390	2658
NM_001114173	1359	1279	2587	1153	2290	1248
NM_148170	1359	1279	2587	1153	2290	1248
NR_049724	7	3	3	66	4	49
NR_120406	148	15	2	5	5	65
NM_153696	404	489	28	27	67	450
NM_001146162	0	2	0	0	0	0
NM_001271942	0	2	0	0	0	0
NM_001206627	0	3	0	0	1	0
NM_001164397	0	0	0	0	0	5
NM_020358	0	12	1	3	1	0
NR_028346	0	6	0	0	2	8
NM_001136486	0	0	0	0	1	9
NM_001195234	6	13	1	0	4	13
NM_001143975	0	8	0	0	1	6
NM_012124	4564	4809	3677	4083	6197	4819
NM_001144073	4564	4809	3677	4083	6197	4819
NR_039711	0	0	0	0	0	0
NR_031663	0	0	0	0	0	0
NM_005959	14	3	16	6	3	5
NM_181645	72	92	111	206	106	64
NM_020179	1262	1378	2119	1829	1903	981
NR_002973	132	95	15	63	215	168
NR_003033	173	54	13	6	121	168
NR_003032	116	305	78	10	269	206
NM_004268	3745	4413	5652	8270	8561	4777
NR_002959	11	33	3	7	186	31
NR_003036	53	45	3	84	11	2
NM_001144871	43	135	125	121	17	64
NR_003026	0	27	0	0	2	0
NR_003028	46	125	2	1	7	25
NR_002569	235	35	13	148	192	95
NM_024116	5392	6359	7606	5467	10973	6426
NR_002920	14	32	0	1	5	29
NR_031639	0	0	47	56	134	24
NM_001286067	1257	1209	2199	3511	2959	1066
NM_001286068	1257	1209	2199	3511	2959	1066
NM_001286071	1257	1209	2199	3511	2959	1066
NM_001286070	1257	1209	2199	3511	2959	1066
NM_001286069	1257	1209	2199	3511	2959	1066
NM_014039	1257	1209	2199	3511	2959	1066
NM_001098672	764	1328	1288	1101	1457	1033
NM_015368	1981	2352	3205	5386	4170	2213
NM_001199206	0	0	0	0	0	0
NM_016540	200	40	49	439	60	105
NR_031630	0	0	0	0	0	0
NM_005591	3409	2678	4344	4259	5972	3363
NM_005590	3409	2678	4344	4259	5972	3363
NM_017704	584	616	813	960	1639	610
NM_152431	48	67	94	69	167	53
